Symbol,Date,Open,High,Low,Close,Volume
NESTLE,06-Feb-2019,9000.00,9000.00,9000.00,9000.00,40
NESTLE,07-Feb-2019,8800.00,8800.00,8800.00,8800.00,20
NESTLE,08-Feb-2019,8810.00,8810.00,8800.00,8800.00,40
NESTLE,13-Feb-2019,8850.00,8850.00,8800.00,8800.00,60
NESTLE,14-Feb-2019,8800.00,8800.00,8800.00,8800.00,40
NESTLE,18-Feb-2019,8890.00,8900.00,8890.00,8900.00,40
NESTLE,25-Feb-2019,8600.00,8600.00,8600.00,8600.00,20
NESTLE,26-Feb-2019,8500.00,8500.00,8500.00,8500.00,20
NESTLE,28-Feb-2019,8300.00,8300.00,8200.00,8200.00,5000
NESTLE,01-Mar-2019,8200.00,8200.00,8200.00,8200.00,20
NESTLE,04-Mar-2019,8200.00,8200.00,8200.00,8200.00,60
NESTLE,06-Feb-2019,9000.00,9000.00,9000.00,9000.00,40
NESTLE,07-Feb-2019,8800.00,8800.00,8800.00,8800.00,20
NESTLE,08-Feb-2019,8810.00,8810.00,8800.00,8800.00,40
NESTLE,13-Feb-2019,8850.00,8850.00,8800.00,8800.00,60
NESTLE,14-Feb-2019,8800.00,8800.00,8800.00,8800.00,40
NESTLE,18-Feb-2019,8890.00,8900.00,8890.00,8900.00,40
NESTLE,25-Feb-2019,8600.00,8600.00,8600.00,8600.00,20
NESTLE,26-Feb-2019,8500.00,8500.00,8500.00,8500.00,20
NESTLE,28-Feb-2019,8300.00,8300.00,8200.00,8200.00,5000
NESTLE,01-Mar-2019,8200.00,8200.00,8200.00,8200.00,20
NESTLE,04-Mar-2019,8200.00,8200.00,8200.00,8200.00,60
NESTLE,06-Feb-2019,9000.00,9000.00,9000.00,9000.00,40
NESTLE,07-Feb-2019,8800.00,8800.00,8800.00,8800.00,20
NESTLE,08-Feb-2019,8810.00,8810.00,8800.00,8800.00,40
NESTLE,13-Feb-2019,8850.00,8850.00,8800.00,8800.00,60
NESTLE,14-Feb-2019,8800.00,8800.00,8800.00,8800.00,40
NESTLE,18-Feb-2019,8890.00,8900.00,8890.00,8900.00,40
NESTLE,25-Feb-2019,8600.00,8600.00,8600.00,8600.00,20
NESTLE,26-Feb-2019,8500.00,8500.00,8500.00,8500.00,20
